SAMPLE_ID,DISTRICT,THANA,pH_proxy,TDS_calc,WELL_DEPTH,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Ratio_Na_Cl,Ratio_CaMg_HCO3SO4,CAI_1,Facies_Ca-HCO3,Facies_Mixed-Cation-HCO3,Facies_Mixed-Cation-Mixed-Anion,Facies_Mixed-Cation-SO4,Facies_Na-Cl,Facies_Na-HCO3,Facies_Na-Mixed-Anion,IonEx_Direct Ion Exchange (Na matrix -> Ca solution),IonEx_Reverse Ion Exchange (Ca matrix -> Na solution),Gibbs_Rock-Water Interaction Dominance,Gibbs_Evaporation / Crystallization Dominance,HPI,HEI,WQI,Cd
S98_01811,Naogaon,Manda,7.2369101342367665,85.39999999999999,30.0,10.7,5.1,16.4,0.5,3.4,97.0,0.7,0.1,7.438390092879258,0.5944106017216162,-6.571739023018607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.84316651247924,5.204952380952381,10.744234303156118,-0.7950476190476189
S98_01813,Nawabganj,Gomastapur,7.152741341350014,298.90000000000003,30.0,56.4,13.7,44.2,0.9,3.9,347.0,6.2,0.1,17.477192982456145,0.6777460752187573,-16.686448226674816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.965851960169909,5.036333333333333,10.883482443528855,-0.9636666666666662
S98_01815,Nawabganj,Shibganj (N),7.044490852855961,556.9,61.0,137.0,42.2,63.7,2.4,9.1,512.0,46.4,0.1,10.794736842105266,1.1017280661032438,-10.03388569264089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.133425845792665,6.855238095238096,24.9445029215986,0.8552380952380955
S98_01817,Rajshahi,Godagari,7.16426942303212,214.71,30.0,37.3,9.71,33.9,0.6,6.9,242.0,5.2,0.1,7.5764302059496575,0.6529446679386015,-6.655280008119012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.528199389218816,1.7027619047619047,6.83962772028927,-4.297238095238095
S98_01818,Rajshahi,Rajpara,6.971932891211526,517.6,37.0,148.0,36.2,40.7,1.7,78.0,396.0,14.9,0.1,0.804662618083671,1.5241052385960254,0.1755743866290102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,120.49715996697404,25.713619047619048,58.08602087551928,19.713619047619048
S98_01819,Rajshahi,Charghat,6.9887630605890045,401.6000000000001,18.0,138.0,30.5,26.8,2.0,2.9,399.0,1.8,0.1,14.251179673321236,1.4287223979387629,-13.87654017328508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,58.586386741870335,12.999333333333334,33.061729980605385,6.999333333333334
S98_01820,Natore,Natore Sadar,6.930872556275574,589.5,27.0,177.0,42.6,38.5,3.4,120.0,392.0,11.9,0.1,0.4947587719298246,1.8491698784357835,0.4795493341966609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59.3009838152934,8.416238095238095,37.56156532852535,2.4162380952380955
S98_01821,Natore,Singra,6.936271194738851,593.4,18.0,159.0,40.8,55.0,1.0,126.0,361.0,31.0,0.1,0.6731411862990812,1.720819101219158,0.3196622047727636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,39.51369383349747,8.697809523809525,26.330584848121443,2.6978095238095245
S98_01822,Natore,Lalpur,7.045894835335805,393.1,27.0,109.0,30.2,22.9,1.3,22.2,410.0,2.4,0.1,1.5907302038880988,1.1706119786819278,-0.6438295076012447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.216300098481,5.267714285714286,19.837921796177778,-0.7322857142857144
S98_01823,Sirajganj,Raiganj,7.158829955105079,121.2,15.0,22.6,10.7,10.3,1.0,4.0,143.0,1.0,0.1,3.97092105263158,0.8493572978070641,-3.197614233868472,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,103.634545942881,21.063285714285715,43.9013213956038,15.063285714285715
S98_01824,Sirajganj,Sirajganj Sadar,7.156156164618286,111.7,18.0,21.6,11.5,4.6,3.1,3.1,135.0,0.2,0.1,2.288285229202037,0.9131622816207866,-2.1950579541496054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.90532095854844,9.228285714285716,45.31496956179927,3.2282857142857138
S98_01825,Pabna,Chatmohar,7.139791444807988,513.7,18.0,108.0,38.0,40.8,1.6,7.5,626.0,4.7,0.1,8.389052631578949,0.8222498067053906,-7.582497479567763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0008853342883,6.5779523809523806,26.65490147157409,0.5779523809523806
S98_01826,Pabna,Pabna Sadar,7.030250178121387,385.7000000000001,30.0,114.0,25.6,38.1,2.8,5.0,399.0,0.6,0.1,11.75084210526316,1.189828134194653,-11.258634831233795,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.24128244153312,5.76947619047619,22.64282505512602,-0.2305238095238099
S98_01827,Pabna,Sujanagar,7.115852413725458,413.1,18.0,91.5,35.0,39.8,1.2,7.9,475.0,0.1,0.1,7.769087275149901,0.9562390296818752,-6.906824904255861,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.02933241815632,15.382857142857144,36.48741998284305,9.382857142857144
S98_01828,Pabna,Bera,7.012175949471941,441.6,20.0,127.0,32.5,17.0,2.3,56.9,409.0,0.7,0.7,0.4607344371473499,1.341522062674224,0.5026121838125902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,244.56099853770624,37.596,107.42174738108334,31.596
S98_01834,Bogra,Sherpur,7.143731910576596,263.20000000000005,36.0,41.0,22.6,29.8,2.3,45.9,242.0,0.5,0.1,1.0011925237931432,0.9821774026098896,-0.04662993702581,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,319.33359594934694,90.89709523809525,132.01162154810496,84.89709523809523
